NAME,B01001_001,B01001_002,B02001_001,B02001_003,B19001_001,B19001_002,B19001_003,B19001_004,B19001_005,B19001_006,B19001_007,B19001_008,B29001_001,B29001_005
"Bronwood town, Georgia",271,125,271,183,127,23,10,10,6,16,6,15,205,71
"Brookhaven city, Georgia",53140,26547,53140,5351,22071,856,464,797,713,605,905,717,33344,4908
"Brooklet city, Georgia",1751,794,1751,99,689,17,38,29,29,47,58,18,1280,251
"Brooks town, Georgia",509,251,509,7,203,12,7,8,2,2,6,4,403,74
"Broxton city, Georgia",1254,543,1254,274,485,101,75,34,10,22,40,53,893,191
"Brunswick city, Georgia",16034,6974,16034,9076,6395,1114,738,560,669,517,319,190,10986,2468
"Buchanan city, Georgia",1435,693,1435,136,453,62,34,48,34,45,6,14,1083,200
"Buckhead town, Georgia",155,74,155,37,68,3,13,3,5,3,0,1,112,25
"Buena Vista city, Georgia",2104,1193,2104,1236,736,55,97,95,70,14,14,43,1427,353
"Buford city, Georgia",15185,7267,15185,2115,4818,279,272,235,321,302,358,218,9172,1867
"Butler city, Georgia",1989,1038,1989,1152,854,104,154,92,56,11,13,52,1553,366
"Byromville town, Georgia",529,259,529,329,175,18,17,13,8,27,1,11,420,124
"Byron city, Georgia",5108,2260,5108,1352,2267,84,151,138,83,267,228,146,3805,969
"Cadwell town, Georgia",489,307,489,105,139,13,9,27,8,26,16,3,374,66
"Cairo city, Georgia",9528,4618,9528,4054,3399,450,264,356,219,259,176,187,6346,1643
"Calhoun city, Georgia",16708,7746,16708,1220,5918,518,470,484,484,485,376,475,10067,2252
"Calvary CDP, Georgia",110,43,110,0,27,0,0,0,0,0,0,0,72,0
"Camak town, Georgia",117,50,117,86,60,0,7,9,0,7,6,17,96,25
"Camilla city, Georgia",5000,2246,5000,3236,1769,239,166,198,85,114,116,154,3643,758
"Candler-McAfee CDP, Georgia",24022,10676,24022,21067,8812,624,661,784,755,632,550,474,19047,4521
"Canon city, Georgia",1002,504,1002,227,329,44,58,12,31,17,19,3,651,175
"Canoochee CDP, Georgia",125,45,125,0,55,5,11,0,8,0,0,5,107,27
"Canton city, Georgia",27127,12720,27127,3301,9688,537,333,348,603,431,465,594,16506,3476
"Carl town, Georgia",235,108,235,10,79,1,8,5,2,5,1,0,180,29
"Carlton city, Georgia",429,215,429,74,173,22,11,9,21,14,1,16,299,99
"Carnesville city, Georgia",743,388,743,70,231,18,26,9,15,9,26,16,546,89
"Carrollton city, Georgia",26397,12070,26397,7578,8906,1179,493,553,590,689,415,385,19151,2872
"Cartersville city, Georgia",20467,9996,20467,4263,7824,738,277,345,424,522,429,508,14173,3057
"Cave Spring city, Georgia",1128,532,1128,92,480,68,11,39,54,36,30,48,904,255
"Cecil city, Georgia",343,177,343,206,139,12,10,14,14,14,0,18,267,67
"Cedar Springs CDP, Georgia",122,23,122,0,94,49,0,0,0,0,3,0,122,49
"Cedartown city, Georgia",9930,4848,9930,1927,3674,390,341,597,346,146,195,192,5705,1518
"Centerville city, Georgia",7671,3808,7671,2350,3007,174,49,52,123,86,143,163,5612,1294
"Centralhatchee town, Georgia",455,200,455,66,164,10,18,9,14,7,9,9,339,79
