NAME,B01001_001,B01001_002,B02001_001,B02001_003,B19001_001,B19001_002,B19001_003,B19001_004,B19001_005,B19001_006,B19001_007,B19001_008,B29001_001,B29001_005
"Junction City town, Georgia",203,136,203,180,83,7,2,6,8,12,3,5,167,10
"Kennesaw city, Georgia",33700,15980,33700,8368,12807,462,229,464,689,760,578,519,23780,2931
"Keysville city, Georgia",169,76,169,117,63,18,7,5,8,2,3,2,131,45
"Kings Bay Base CDP, Georgia",3348,2417,3348,400,529,5,18,17,18,28,43,70,2553,25
"Kingsland city, Georgia",16784,8128,16784,4098,6015,397,188,262,241,284,295,443,11170,1423
"Kingston city, Georgia",490,208,490,192,190,28,11,19,11,40,7,5,342,76
"Kite city, Georgia",290,128,290,9,77,11,3,6,1,3,2,2,157,28
"Knoxville CDP, Georgia",64,42,64,15,6,0,0,0,0,0,0,0,64,18
"LaFayette city, Georgia",7191,3117,7191,543,2870,459,147,354,297,270,225,114,5493,1493
"LaGrange city, Georgia",30412,14171,30412,15284,11005,1433,1002,967,576,727,872,509,21242,3711
"Lake City city, Georgia",2749,1273,2749,1222,579,69,61,23,28,48,18,28,1863,334
"Lakeland city, Georgia",3271,1554,3271,1549,1082,319,112,147,79,40,22,14,2350,400
"Lake Park city, Georgia",855,398,855,93,314,34,13,28,21,16,16,7,648,142
"Lakeview CDP, Georgia",5147,2326,5147,52,1851,112,30,95,142,179,194,77,3926,1145
"Lakeview Estates CDP, Georgia",2697,1377,2697,78,656,43,79,69,40,97,58,60,815,65
"Lavonia city, Georgia",2131,954,2131,494,914,96,94,112,59,103,67,34,1585,504
"Lawrenceville city, Georgia",29401,14675,29401,10210,10377,915,488,573,608,814,534,535,17710,3563
"Leary city, Georgia",628,308,628,481,268,29,22,21,11,17,32,16,481,214
"Leesburg city, Georgia",2982,1544,2982,861,909,108,59,21,38,25,22,24,1954,250
"Lenox city, Georgia",789,334,789,263,344,44,62,45,26,32,30,5,608,154
"Leslie city, Georgia",589,212,589,282,189,33,22,5,14,7,8,1,388,87
"Lexington city, Georgia",205,90,205,28,81,3,10,8,1,7,2,3,154,55
"Lilburn city, Georgia",12561,6589,12561,2046,3915,326,126,125,138,189,180,265,6849,1313
"Lilly city, Georgia",194,87,194,118,72,23,4,1,7,11,0,8,142,38
"Lincoln Park CDP, Georgia",389,200,389,354,214,54,50,25,27,0,0,0,389,86
"Lincolnton city, Georgia",1823,961,1823,926,695,71,87,36,49,42,36,22,1366,207
"Lindale CDP, Georgia",4466,1926,4466,496,1626,52,79,115,201,94,107,102,3416,641
"Lithia Springs CDP, Georgia",17216,8715,17216,8480,6326,312,264,250,472,336,437,455,12007,1270
"Lithonia city, Georgia",2445,906,2445,2149,827,140,69,29,60,41,67,18,1361,169
"Locust Grove city, Georgia",6540,3139,6540,2800,2114,153,114,136,108,154,96,149,4229,496
"Loganville city, Georgia",11665,5669,11665,3180,3792,226,149,75,196,233,122,164,8258,1759
"Lone Oak town, Georgia",79,25,79,10,42,6,2,2,7,0,5,4,79,16
"Lookout Mountain city, Georgia",1766,873,1766,24,655,13,4,32,21,11,13,47,1352,339
"Louisville city, Georgia",2628,1412,2628,1866,950,176,92,139,60,112,26,44,1905,390
"Lovejoy city, Georgia",6484,2949,6484,4360,1952,142,20,212,110,113,100,202,3797,232
"Ludowici city, Georgia",2605,1096,2605,1062,859,92,71,6,16,26,25,51,1808,252
"Lula city, Georgia",2880,1429,2880,265,959,34,61,73,36,29,82,50,1952,235
"Lumber City city, Georgia",1230,598,1230,693,491,66,63,49,52,45,57,20,977,297
"Lumpkin city, Georgia",1142,624,1142,821,455,79,67,63,52,11,6,11,886,148
"Luthersville city, Georgia",805,333,805,426,300,30,36,32,30,16,23,24,625,92
"Lyerly town, Georgia",541,263,541,4,233,29,13,39,6,33,14,21,434,108
"Lyons city, Georgia",4318,1924,4318,1649,1612,348,187,60,229,141,163,14,2822,465
"Mableton CDP, Georgia",40464,18980,40464,19628,14168,535,637,532,743,670,866,553,25180,3550
"McCaysville city, Georgia",1353,683,1353,0,590,83,91,50,39,56,34,39,1045,282
"McDonough city, Georgia",24102,10942,24102,15451,8458,440,432,386,330,363,696,284,17474,2187
"McIntyre town, Georgia",678,314,678,444,242,21,19,43,11,26,7,16,531,155
"Macon-Bibb County, Georgia",153490,72065,153490,83068,58010,7903,4340,3772,3493,3629,2875,3021,113416,22651
"McRae-Helena city, Georgia",8538,5590,8538,4332,2043,217,203,121,241,344,213,129,5097,1079
"Madison city, Georgia",4041,1772,4041,2069,1583,164,63,105,85,100,52,33,3009,818
"Manassas city, Georgia",70,30,70,33,31,2,9,0,0,2,4,2,49,10
"Manchester city, Georgia",3977,1955,3977,1946,1608,307,101,226,227,34,109,77,2887,675
"Mansfield city, Georgia",445,213,445,21,143,16,6,16,10,12,17,15,306,65
"Marietta city, Georgia",60410,29544,60410,18602,23947,1492,833,740,1145,1623,1595,1647,38933,7337
"Marshallville city, Georgia",1470,626,1470,1077,587,124,83,74,40,13,2,38,1113,282
"Martin town, Georgia",546,260,546,12,242,40,11,7,3,10,19,3,424,53
"Martinez CDP, Georgia",36068,16684,36068,4727,12124,494,194,426,456,400,379,578,26397,5510
"Matthews CDP, Georgia",194,125,194,0,50,0,0,0,0,0,0,0,119,16
"Maxeys town, Georgia",284,134,284,18,97,3,0,0,15,2,6,7,222,56
"Maysville town, Georgia",2307,1167,2307,147,749,60,38,55,50,40,55,36,1737,308
"Meansville city, Georgia",99,51,99,7,46,5,4,5,0,7,3,2,83,28
"Meigs city, Georgia",989,400,989,611,366,59,45,37,42,24,24,24,670,79
"Mendes CDP, Georgia",59,13,59,27,32,0,0,0,10,0,0,10,44,29
"Menlo city, Georgia",439,188,439,31,207,31,35,7,22,15,10,21,333,114
"Metter city, Georgia",3978,1971,3978,1527,1411,249,148,210,111,164,97,52,2657,703
"Midville city, Georgia",329,173,329,124,140,10,16,1,9,3,23,3,227,69
"Midway city, Georgia",2077,1014,2077,865,673,29,38,20,12,27,28,62,1471,188
"Milan city, Georgia",805,366,805,160,311,26,22,26,43,48,25,6,618,203
"Milledgeville city, Georgia",18813,9461,18813,8580,6000,1374,654,714,192,509,167,247,15411,2128
"Millen city, Georgia",2838,1144,2838,1633,1145,169,80,177,130,148,0,53,2191,544
"Milner city, Georgia",954,507,954,258,363,31,5,17,11,27,7,22,791,141
"Milton city, Georgia",38171,18985,38171,3802,12897,383,119,220,291,162,73,414,23639,3060
"Mineral Bluff CDP, Georgia",335,176,335,0,112,7,0,22,21,0,0,0,202,16
"Mitchell town, Georgia",197,85,197,20,65,12,3,4,8,1,1,1,146,35
"Molena city, Georgia",468,201,468,161,151,19,10,11,14,21,9,2,347,101
"Monroe city, Georgia",13370,5915,13370,6058,4981,579,639,291,426,334,334,270,9419,1661
"Montezuma city, Georgia",3117,1368,3117,2021,1320,251,152,133,0,59,103,124,2407,583
"Montgomery CDP, Georgia",4533,2187,4533,419,1740,34,76,41,32,138,140,127,3335,548
"Monticello city, Georgia",2630,1144,2630,1303,1063,154,110,57,75,112,36,60,1969,500
"Montrose town, Georgia",280,132,280,117,72,12,5,0,8,1,5,2,153,36
"Moody AFB CDP, Georgia",1191,861,1191,147,220,0,0,26,8,77,0,6,1042,0
"Moreland town, Georgia",408,205,408,38,142,2,14,12,2,2,3,12,329,73
"Morgan city, Georgia",2055,1912,2055,1207,95,16,9,7,6,14,2,7,1917,92
"Morganton city, Georgia",277,127,277,0,95,7,15,4,2,12,14,5,219,78
"Morrow city, Georgia",7238,3482,7238,3370,2115,146,84,149,139,50,49,159,4621,600
"Morven city, Georgia",775,350,775,421,283,71,46,22,17,5,0,19,541,122
"Moultrie city, Georgia",14109,6906,14109,6695,4876,745,405,605,631,403,239,146,9208,1625
"Mountain City town, Georgia",1103,430,1103,0,413,55,61,46,18,35,25,20,865,281
"Mountain Park city, Georgia",625,313,625,13,249,11,0,2,12,4,18,5,464,82
"Mountain Park CDP, Georgia",13877,6882,13877,3104,4626,86,204,175,105,116,205,95,9209,2281
"Mount Airy town, Georgia",1281,607,1281,29,455,24,44,26,28,17,50,12,775,156
"Mount Vernon city, Georgia",2519,1197,2519,1314,894,125,111,65,88,46,38,67,1873,463
"Mount Zion city, Georgia",2377,1254,2377,210,684,44,27,34,57,32,10,42,1646,204
"Nahunta city, Georgia",775,354,775,115,300,56,52,46,23,21,13,16,575,162
"Nashville city, Georgia",4813,2293,4813,1017,1958,384,326,90,102,75,117,54,3532,925
"Nelson city, Georgia",1573,792,1573,63,531,13,32,34,15,5,17,32,1111,165
"Newborn town, Georgia",734,379,734,160,267,10,12,11,8,14,20,30,567,147
"Newington town, Georgia",276,129,276,72,115,17,26,4,9,2,11,0,202,52
"Newnan city, Georgia",37818,17642,37818,11332,14771,1092,651,878,632,828,447,675,25509,4033
"Newton city, Georgia",840,405,840,305,320,86,50,10,17,15,24,0,587,156
"Nicholls city, Georgia",3870,3450,3870,2436,281,48,55,14,21,48,11,11,3472,167
"Nicholson city, Georgia",1781,910,1781,110,499,21,16,29,17,25,30,17,1221,159
"Norcross city, Georgia",16369,8331,16369,3190,5089,163,197,289,410,431,422,285,6841,731
"Norman Park city, Georgia",1024,534,1024,309,365,26,25,12,18,33,27,32,765,159
"Norristown CDP, Georgia",84,53,84,61,31,16,11,0,4,0,0,0,64,11
"North Decatur CDP, Georgia",17298,8186,17298,1978,8167,446,276,395,262,209,191,191,13288,2717
"North Druid Hills CDP, Georgia",17287,8059,17287,2514,8517,527,217,221,334,510,376,375,13167,2480
"North High Shoals town, Georgia",707,332,707,37,191,3,1,12,3,1,14,2,529,96
"Norwood city, Georgia",242,115,242,162,111,5,8,0,7,17,6,17,218,51
"Nunez city, Georgia",169,68,169,87,65,1,5,1,2,11,0,11,116,46
"Oak Park town, Georgia",717,337,717,18,241,61,22,21,25,6,27,0,418,72
"Oakwood city, Georgia",4124,1819,4124,686,1414,76,42,91,49,92,179,40,2636,383
"Ochlocknee town, Georgia",633,275,633,125,232,17,9,11,7,33,14,18,449,128
"Ocilla city, Georgia",3487,1801,3487,2455,1144,283,153,170,91,61,32,23,2731,647
"Oconee city, Georgia",370,181,370,56,131,22,0,8,1,6,4,17,289,102
"Odum city, Georgia",506,239,506,50,201,8,8,22,5,23,6,16,351,104
"Offerman city, Georgia",474,229,474,33,162,10,16,22,7,10,13,20,303,54
"Oglethorpe city, Georgia",1288,652,1288,1040,545,134,61,47,25,30,77,33,976,251
"Oliver city, Georgia",382,208,382,169,121,20,0,14,1,9,0,12,270,44
"Omega city, Georgia",1256,513,1256,133,434,59,72,17,45,53,50,17,605,113
"Orchard Hill town, Georgia",250,132,250,35,85,9,16,13,5,0,4,4,164,39
"Oxford city, Georgia",2109,1015,2109,717,614,46,33,64,56,3,31,59,1543,281
"Palmetto city, Georgia",5089,2077,5089,2917,1687,211,95,111,223,0,65,41,3193,690
"Panthersville CDP, Georgia",10581,4578,10581,10146,3826,418,212,374,306,218,303,228,7982,1717
"Parrott town, Georgia",139,59,139,73,60,4,4,1,9,12,6,1,131,75
"Patterson city, Georgia",647,293,647,77,319,34,38,11,18,10,23,0,522,170
"Pavo city, Georgia",598,277,598,258,262,40,35,15,21,14,18,10,488,124
"Peachtree City city, Georgia",35165,17022,35165,2276,13196,279,178,471,284,222,362,470,24525,5866
"Peachtree Corners city, Georgia",42463,21239,42463,9716,16685,457,565,518,837,991,727,675,28107,4342
"Pearson city, Georgia",2036,1065,2036,943,610,86,74,43,58,44,59,15,1130,205
"Pelham city, Georgia",3609,1564,3609,2379,1289,235,32,96,143,180,82,44,2571,547
"Pembroke city, Georgia",2447,1108,2447,770,854,83,60,44,91,69,33,19,1601,240
"Pendergrass town, Georgia",487,226,487,38,186,8,5,12,8,3,11,10,390,93
"Perkins CDP, Georgia",225,147,225,0,60,0,0,0,0,0,21,22,205,0
"Perry city, Georgia",16031,7903,16031,6077,5834,455,367,381,408,373,345,321,11586,2062
"Phillipsburg CDP, Georgia",922,523,922,922,296,28,36,74,37,20,0,0,632,90
"Pinehurst city, Georgia",423,217,423,213,144,18,24,15,7,6,14,12,348,79
"Pine Lake city, Georgia",747,275,747,167,381,2,4,23,12,15,34,26,629,109
"Pine Mountain town, Georgia",1440,571,1440,582,608,45,60,43,62,47,22,33,1103,278
"Pineview town, Georgia",525,205,525,343,171,21,22,13,23,11,6,8,386,104
"Pitts city, Georgia",383,211,383,83,132,23,6,9,27,3,4,0,302,63
"Plains city, Georgia",658,248,658,249,222,52,11,24,20,12,22,2,547,247
"Plainville city, Georgia",403,228,403,1,130,17,2,2,12,13,8,12,291,43
"Pooler city, Georgia",23102,11056,23102,5579,8655,80,231,298,317,126,361,379,16437,2375
"Portal town, Georgia",606,290,606,116,271,32,39,17,19,20,15,11,493,100
"Porterdale city, Georgia",1742,810,1742,498,631,88,80,61,32,43,23,26,1276,131
"Port Wentworth city, Georgia",7946,4393,7946,3316,3179,51,130,107,0,0,135,118,5549,902
"Poulan city, Georgia",729,385,729,270,276,31,6,21,22,11,17,2,594,147
"Powder Springs city, Georgia",14945,6678,14945,8722,5277,210,147,134,148,392,146,222,10565,1725
"Pulaski town, Georgia",309,130,309,69,96,0,14,3,12,7,3,9,251,103
"Putney CDP, Georgia",2250,1100,2250,790,952,87,44,30,54,71,42,18,1783,497
"Quitman city, Georgia",3771,1907,3771,2524,1497,306,170,103,106,142,87,81,2814,763
"Ranger town, Georgia",137,69,137,0,42,5,5,6,4,2,4,2,94,20
"Raoul CDP, Georgia",2937,579,2937,525,382,39,22,15,10,39,103,7,2478,119
"Ray City city, Georgia",1076,508,1076,215,420,40,23,56,54,34,20,11,737,98
"Rayle town, Georgia",235,119,235,119,65,2,18,11,3,0,7,0,154,44
"Rebecca town, Georgia",237,99,237,6,86,5,3,26,5,3,7,4,166,33
"Redan CDP, Georgia",32357,14620,32357,30776,11315,860,716,480,683,558,859,509,23487,3267
"Reed Creek CDP, Georgia",2535,1405,2535,10,1179,119,100,28,80,27,125,74,2237,761
"Register town, Georgia",116,53,116,7,50,8,4,1,6,2,4,3,83,19
"Reidsville city, Georgia",2642,1189,2642,1130,1209,189,119,203,95,127,64,45,1764,547
"Remerton city, Georgia",1224,552,1224,532,526,112,67,52,54,45,38,24,1051,27
"Rentz city, Georgia",285,112,285,5,116,32,9,7,8,9,6,10,206,67
"Resaca town, Georgia",960,529,960,25,307,9,13,18,16,8,31,23,621,89
"Rest Haven town, Georgia",179,98,179,0,56,1,7,0,0,7,0,1,111,18
"Reynolds city, Georgia",1119,526,1119,481,481,109,42,31,33,21,45,14,844,291
"Rhine town, Georgia",499,231,499,163,238,60,24,23,36,10,16,10,394,117
"Riceboro city, Georgia",641,295,641,573,302,42,25,35,6,9,15,20,526,186
"Richland city, Georgia",1637,745,1637,1185,685,139,82,54,139,33,28,32,1358,409
"Richmond Hill city, Georgia",12203,5948,12203,2264,4251,366,183,180,326,174,112,162,7915,831
"Riddleville town, Georgia",46,24,46,11,19,1,0,2,3,0,1,2,41,7
"Rincon town, Georgia",9863,4971,9863,1945,3788,263,105,189,218,49,298,185,6533,800
"Ringgold city, Georgia",3563,1838,3563,173,1488,88,185,75,129,118,13,56,2817,611
"Riverdale city, Georgia",16289,7760,16289,13177,5875,440,231,434,553,433,479,324,10814,1586
"Roberta city, Georgia",909,398,909,313,323,41,27,31,20,23,23,17,646,189
"Robins AFB CDP, Georgia",1464,823,1464,234,302,16,0,3,14,26,24,25,1009,29
"Rochelle city, Georgia",961,394,961,325,385,22,25,23,48,56,19,41,810,206
"Rockingham CDP, Georgia",102,50,102,0,60,20,23,0,0,0,0,0,80,31
"Rockmart city, Georgia",4244,2091,4244,1301,1552,282,119,200,43,130,34,54,2864,506
"Rocky Ford town, Georgia",209,110,209,54,76,12,3,0,3,8,3,5,150,33
"Rome city, Georgia",36185,17015,36185,9813,13994,1561,1214,1054,780,799,1112,734,24413,5368
"Roopville town, Georgia",271,134,271,25,88,2,1,1,10,10,7,0,193,42
"Rossville city, Georgia",3994,1906,3994,307,1411,92,105,192,108,92,86,42,2919,600
"Roswell city, Georgia",94257,46825,94257,12862,34430,714,578,977,1045,1198,1151,1228,61925,11180
"Royston city, Georgia",2997,1246,2997,673,1207,207,167,204,88,73,71,50,2235,685
"Russell CDP, Georgia",1229,622,1229,242,355,25,25,35,40,36,33,27,686,98
"Rutledge city, Georgia",928,410,928,355,403,68,55,59,14,15,6,7,743,179
"St. Marys city, Georgia",17921,9131,17921,2423,7053,421,239,163,415,586,161,377,13370,2374
"St. Simons CDP, Georgia",14302,6688,14302,335,6720,248,102,231,247,229,114,228,11981,4687
"Sale City city, Georgia",438,229,438,94,160,14,8,15,6,5,20,9,297,58
"Salem CDP, Georgia",407,200,407,397,151,23,6,11,16,27,33,0,343,62
"Sandersville city, Georgia",5616,2479,5616,3463,2120,302,343,170,133,82,124,88,4322,943
"Sandy Springs city, Georgia",105411,50210,105411,20385,45833,1781,1004,1074,1749,1652,1794,1651,70837,12898
"Santa Claus city, Georgia",195,79,195,36,74,5,18,4,2,3,3,5,142,40
"Sardis city, Georgia",750,323,750,410,323,73,54,10,26,29,24,14,522,82
"Sasser town, Georgia",338,174,338,149,116,11,3,7,9,7,12,8,206,39
"Satilla CDP, Georgia",376,133,376,0,122,39,13,0,0,0,0,45,254,85
"Sautee-Nacoochee CDP, Georgia",178,96,178,10,106,9,0,19,0,28,0,0,157,25
"Savannah city, Georgia",145342,69200,145342,79038,53187,6172,3535,3217,3714,3406,2757,3080,110077,18513
"Scotland city, Georgia",477,264,477,182,140,0,17,10,32,10,17,6,321,50
"Scottdale CDP, Georgia",10698,5304,10698,3591,4180,270,179,138,226,213,232,138,6244,657
"Screven city, Georgia",1065,566,1065,294,361,33,19,51,7,14,22,17,806,129
"Senoia city, Georgia",4160,2095,4160,269,1367,75,57,10,22,0,25,61,2958,426
"Seville CDP, Georgia",116,64,116,0,69,0,0,8,9,25,0,0,95,68
"Shady Dale town, Georgia",437,242,437,20,124,2,2,5,5,8,4,5,159,29
"Shannon CDP, Georgia",1931,844,1931,0,758,99,21,46,79,39,82,7,1348,413
"Sharon city, Georgia",140,76,140,121,62,4,4,5,19,5,1,10,130,26
"Sharpsburg town, Georgia",402,198,402,48,166,12,9,8,9,8,13,8,295,43
"Shellman city, Georgia",1147,551,1147,628,438,47,68,46,35,32,27,11,849,234
"Shiloh city, Georgia",422,195,422,99,173,4,20,8,9,9,8,3,334,55
"Siloam town, Georgia",399,195,399,264,138,20,20,18,9,7,10,11,260,49
"Skidaway Island CDP, Georgia",8783,4159,8783,187,4102,111,53,60,116,140,64,93,7646,4536
"Sky Valley city, Georgia",328,166,328,0,172,4,2,2,4,11,6,7,304,197
"Smithville city, Georgia",683,327,683,482,249,8,51,12,36,8,32,6,528,90
"Smyrna city, Georgia",55976,26763,55976,16921,24531,1137,497,771,897,776,835,1023,38344,5280
"Snellville city, Georgia",19631,9083,19631,7893,6077,220,183,70,186,279,273,346,14220,3090
"Social Circle city, Georgia",4419,2179,4419,1679,1583,192,54,26,193,48,33,0,3281,821
"Soperton city, Georgia",3073,1645,3073,1624,1183,195,106,56,99,79,36,75,2446,532
"South Fulton city, Georgia",94912,45625,94912,86744,31526,1394,1167,1245,1576,1278,1351,833,67684,9335
"Sparks town, Georgia",2261,1115,2261,1302,793,135,87,103,94,66,33,28,1443,331
"Sparta city, Georgia",1854,873,1854,1617,761,104,115,56,105,66,63,4,1274,517
"Springfield city, Georgia",3526,1705,3526,724,1341,97,107,67,104,61,123,62,2664,542
"Stapleton city, Georgia",393,169,393,35,131,9,18,15,8,13,5,4,258,62
"Statesboro city, Georgia",31001,14934,31001,13311,10210,1639,1196,965,1046,661,577,561,25634,2366
"Statham city, Georgia",2633,1312,2633,569,951,93,58,20,82,32,34,6,1887,268
"Stillmore city, Georgia",535,220,535,291,178,8,21,17,28,20,9,6,379,108
"Stockbridge city, Georgia",28648,12993,28648,17441,9752,420,428,557,382,455,515,439,20082,2398
"Stonecrest city, Georgia",53772,23946,53772,50307,19626,1551,1114,1085,1101,986,1259,1062,37652,4105
"Stone Mountain city, Georgia",6251,2681,6251,4900,2274,136,128,219,117,225,136,119,4693,467
"Sugar Hill city, Georgia",22314,11006,22314,2301,6990,432,243,88,119,299,124,169,13361,1743
"Summertown city, Georgia",180,91,180,79,64,12,0,7,0,4,1,17,123,31
"Summerville city, Georgia",4339,2006,4339,866,1717,300,314,117,165,188,73,20,3155,783
"Sumner town, Georgia",491,213,491,133,157,5,4,8,14,23,5,2,343,63
"Sunny Side city, Georgia",160,78,160,19,56,4,0,0,15,11,5,0,92,8
"Sunnyside CDP, Georgia",1121,535,1121,91,479,17,0,38,0,0,24,35,913,356
"Sunset Village CDP, Georgia",747,316,747,9,328,44,26,50,20,8,8,17,634,156
"Surrency town, Georgia",293,157,293,87,115,35,7,8,8,10,9,3,227,58
"Suwanee city, Georgia",19215,8905,19215,1994,6699,285,100,120,55,140,277,284,13310,1855
"Swainsboro city, Georgia",7347,3546,7347,4531,2503,495,212,309,163,203,103,121,4832,1044
"Sycamore city, Georgia",868,519,868,256,237,46,21,20,13,8,7,18,627,54
"Sylvania city, Georgia",2805,1301,2805,1207,1092,113,150,66,98,79,91,48,2175,622
"Sylvester city, Georgia",5926,2589,5926,3666,2318,302,190,151,267,180,74,91,4121,824
"Talahi Island CDP, Georgia",1406,630,1406,0,527,0,0,0,0,30,40,30,1148,412
"Talbotton city, Georgia",875,355,875,723,408,83,35,18,56,27,11,45,715,120
"Talking Rock town, Georgia",139,71,139,0,46,4,0,4,3,1,0,0,107,16
"Tallapoosa city, Georgia",3133,1343,3133,135,1377,178,69,66,128,13,148,43,2483,567
"Tallulah Falls town, Georgia",100,35,100,11,33,0,0,0,0,0,1,2,78,14
"Talmo town, Georgia",295,162,295,0,90,10,0,6,2,2,1,2,222,35
"Tarrytown town, Georgia",44,24,44,0,25,5,0,7,0,0,0,0,37,16
"Tate City CDP, Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taylorsville town, Georgia",238,121,238,0,82,1,1,7,1,3,14,0,180,55
"Temple city, Georgia",4366,1849,4366,836,1505,53,18,40,58,26,92,75,3342,468
"Tennille city, Georgia",1722,758,1722,1065,696,103,75,65,75,61,59,41,1266,241
"The Rock CDP, Georgia",203,73,203,0,52,0,0,0,10,0,0,0,131,56
"Thomaston city, Georgia",8802,3704,8802,3755,3338,849,174,261,287,223,246,127,6349,1417
"Thomasville city, Georgia",18546,8755,18546,9980,7248,945,732,519,610,479,541,410,13757,3117
"Thomson city, Georgia",6603,2836,6603,3746,2711,556,286,322,275,217,115,57,4591,1097
"Thunderbolt town, Georgia",2643,1238,2643,889,1044,18,30,64,49,56,63,38,2035,523
"Tifton city, Georgia",16603,7765,16603,5420,5783,661,585,463,263,494,399,286,11657,2027
"Tiger town, Georgia",512,241,512,25,148,13,12,10,21,10,12,3,383,100
"Tignall town, Georgia",457,216,457,249,197,5,44,21,15,16,0,12,381,136
"Toccoa city, Georgia",8274,3581,8274,1492,3141,493,219,296,184,198,147,180,6208,1230
"Toomsboro city, Georgia",508,219,508,303,152,27,17,8,11,11,19,13,386,102
"Trenton city, Georgia",2335,1064,2335,10,945,81,83,75,95,87,49,62,1716,358
"Trion town, Georgia",2322,1157,2322,65,793,56,72,34,69,88,59,58,1201,264
"Tucker city, Georgia",35692,16993,35692,11999,14528,726,501,470,476,672,1134,455,27028,6006
"Tunnel Hill city, Georgia",1317,690,1317,22,454,14,12,31,45,20,48,21,986,172
"Turin town, Georgia",571,279,571,29,166,4,2,0,10,7,3,4,402,73
"Twin City city, Georgia",1860,1015,1860,1093,591,90,46,77,40,25,62,40,1501,306
"Tybee Island city, Georgia",3093,1640,3093,64,1274,17,0,48,94,84,9,69,2634,699
"Tyrone town, Georgia",7221,3523,7221,2031,2402,66,58,26,17,36,0,115,5276,899
"Ty Ty city, Georgia",966,434,966,291,336,36,59,14,13,34,34,5,621,94
"Unadilla city, Georgia",3615,2357,3615,1954,847,104,87,90,22,68,78,52,2795,419
"Union City city, Georgia",20960,8972,20960,18375,8331,752,855,556,549,671,400,528,14598,2666
"Union Point city, Georgia",1837,855,1837,1173,712,143,27,68,91,45,42,30,1367,372
"Unionville CDP, Georgia",2183,1095,2183,2183,727,87,186,129,0,60,76,28,1500,367
"Uvalda city, Georgia",527,238,527,203,193,5,34,7,21,12,11,27,374,92
"Valdosta city, Georgia",56074,26497,56074,29111,20764,4178,1593,1106,1685,1304,1085,1074,41789,6033
"Varnell city, Georgia",2156,1024,2156,43,766,4,66,87,39,7,21,31,1431,248
"Vernonburg town, Georgia",106,49,106,0,41,2,2,3,2,1,0,1,79,41
"Vidalia city, Georgia",10473,4457,10473,3629,4169,656,228,330,386,194,293,185,7283,1743
"Vidette city, Georgia",186,81,186,31,56,2,3,2,0,6,3,2,133,31
"Vienna city, Georgia",3737,1766,3737,2920,1409,135,142,266,82,135,49,58,3039,743
"Villa Rica city, Georgia",15124,6749,15124,5935,5152,402,169,187,380,205,189,301,9952,1349
"Vinings CDP, Georgia",13086,5774,13086,4159,6511,208,143,116,113,131,146,108,10476,1695
"Waco city, Georgia",440,212,440,13,178,15,6,15,18,7,11,6,353,80
"Wadley city, Georgia",1841,823,1841,1472,663,126,82,51,58,38,68,46,1437,377
"Waleska city, Georgia",727,313,727,177,85,5,7,4,2,5,0,0,611,54
"Walnut Grove city, Georgia",1422,679,1422,55,485,23,25,8,33,10,29,29,1083,203
"Walthourville city, Georgia",4095,2174,4095,2199,1610,219,169,144,81,95,202,96,2721,320
"Warm Springs city, Georgia",510,238,510,187,172,44,5,15,6,9,8,10,388,123
"Warner Robins city, Georgia",74762,34967,74762,29336,29306,2333,1170,1681,1412,1716,1665,1463,52679,8145
"Warrenton city, Georgia",1976,964,1976,1573,855,232,114,77,40,42,22,70,1524,352
"Warwick city, Georgia",424,215,424,260,171,19,23,21,26,10,3,3,323,86
"Washington city, Georgia",3975,1751,3975,2338,1625,154,234,229,145,63,23,115,3057,945
"Watkinsville city, Georgia",2871,1376,2871,252,1043,17,19,18,10,54,73,50,2135,355
"Waverly Hall town, Georgia",908,435,908,389,316,24,28,28,26,18,3,6,769,262
"Waycross city, Georgia",13836,6121,13836,7847,5760,1000,560,440,431,501,257,206,9526,2541
"Waynesboro city, Georgia",5558,2476,5558,4054,2090,429,264,139,116,73,120,82,3752,831
"Webster County unified government, Georgia",2613,1254,2613,1045,1101,100,142,66,144,28,56,71,1976,547
"West Point city, Georgia",3554,1840,3554,2115,1559,385,119,21,57,141,34,62,2666,577
"Whigham city, Georgia",509,229,509,164,181,24,16,18,13,10,4,18,412,139
"White city, Georgia",788,377,788,3,297,22,27,27,6,30,10,4,550,90
"Whitemarsh Island CDP, Georgia",7058,3299,7058,224,2863,221,58,183,54,79,55,67,5080,1008
"White Plains city, Georgia",219,104,219,94,102,19,2,1,8,13,4,9,187,58
"Whitesburg city, Georgia",743,371,743,47,248,19,16,8,31,18,9,11,551,81
"Willacoochee city, Georgia",1461,741,1461,387,492,34,55,64,61,70,34,20,770,199
"Williamson city, Georgia",586,291,586,105,216,18,4,10,9,7,8,16,426,68
"Wilmington Island CDP, Georgia",15391,7595,15391,402,6288,136,156,119,283,254,104,389,11675,2976
"Winder city, Georgia",15827,7421,15827,3052,5337,467,279,301,360,321,310,223,11210,2212
"Winterville city, Georgia",1123,538,1123,232,446,15,14,20,33,26,8,19,936,152
"Woodbine city, Georgia",1585,756,1585,856,500,38,44,37,15,65,29,19,1111,212
"Woodbury city, Georgia",1203,534,1203,840,451,64,52,53,33,35,17,19,975,147
"Woodland city, Georgia",297,136,297,225,130,22,9,4,0,15,12,2,258,84
